NOTE: This timeline is rough. It was 95% accurate at the time of the 60th anniverary (November 2023). It has not been updated since then.,,
SHOW,FORMAT,TITLE
,BBC Book,A Perfect Christmas
,,Listen
,BBC TV,Listen
,,Time Heist
,,The Caretaker
,Big Finish,The Charge of the Night Brigade
,,War Wounds
,,Distant Voices
,,Field Trip
,Comic,Empire’s Fall
,,The Fractures
,BBC TV,Kill The Moon
,,Mummy on the Orient Express
,,Flatline
,,In The Forest of the Night
,,Dark Water (Part 1)
,,Death in Heaven (Part 2)
,BBC Webcast,Fear Is A Superpower
,BBC Book,The Persistence of Memory
,BBC TV,Last Christmas
,BBC Book,A Long Way Down
,,Sunset Over Venus
,,All The Empty Towers
,,Silver Mosquitoes
,,The Mercy Seats
,,The Constant Doctor
,,Helana and the Beast
,,Royal Blood
,,Big Bang Generation
,,Deep Time
,BBC Audio,The Gods of Winter
,,The House of Winter
,,The Sins of Winter
,,The Memory of Winter
,,The Nightmare Realm
,Comic,Terrorformer
,,The Swords of Kali
,,The Fractures
,,Gangland
,,Unearthly Things
,,The Hyperion Empire
,,Relative Dimensions
,Online Episode,Prologue
,Theatrical Release,The Doctor’s Meditation
,BBC TV,The Magician’s Apprentice
,,The Witch’s Familiar
,,Under The Lake (Part 1)
,,Before The Flood (Part 2)
,,The Girl Who Died (Part 1)
,,The Woman Who Lived (Part 2)
,BBC Book,The Arabian Nightmare
,,The Fortunate Isles
,,The Triple Knife
,,The Ghosts of Branscombe Wood
,Big Finish,The Turn of The Tides
,BBC TV,The Zygon Invasion (Part 1)
,,The Zygon Inversion (Part 2)
,BBC Webcast,The Zygon Isolation
,Big Finish,Narcissus
,Comic,Clara Oswald and the School of Death
,,The Fourth Wall
UNIT,Big Finish,The Enemy Beyond
,,Fire and Ice
,,Eleven’s Eleven
,,The Curator’s Gambit
,,The Man From Gallifrey
,,Power of the Dominators
,,The War Factory
,,Ten Minutes in Hell
,,The Vulpreen Encounte
,,By Jacqui McGee
,,Axos Unleashed
,,Time of the Vulpreen
,,One Way or Another
,,Traitor’s Gate
,,The Destiny Labyrinth
,,True Nemesis
Doctor Who,BBC TV,Sleep No More
,,Face The Raven (Part 1)
,,Heaven Sent (Part 2)
,,Hell Bent (Part 3)
,,The Husbands of River Song
,Comic,Invasion of the Mindmorphs
,,Beneath the Waves
,,The Boy with the Displaced Smile
,BBC Book,Missing Habitas Frond
,,Girl Power!
UNIT,Big Finish,The Sleep of Death
,,Tempest
,,The Power of River Song (Parts 1 + 2)
Doctor Who,The Sacrifice of Jo Grant,
,The Boundless Sea,
,I Went to a Marvelous Party,
,Signs,
,Five Twenty-Nine,
,Time in a Bottle,
,Kings of Infinite Space,
,Whodunnit?,
BBC Book,All That Glitters,
,Off The Trail,
,Ghosts of New York,
,Take the Plunge,
,Spectator Sport,
,Base of Operations,
Class,BBC TV,For Tonight We Might Die
,,The Coach With the Dragon Tattoo
,BBC Book,Joyride
,,The Stone House
,,What She Does Next Will Astound You
,BBC TV,Nightvisiting
,Big Finish,Gifted
,,Life Experience
,,Tell Me You Love Me
,,Everybody Loves Raegan
,,Now You Know…
,,In Remembrance
,BBC TV,Co-Owner of a Lonely Heart
,,Brave-is Heart
,Big Finish,The Soers’ Ditch
,,Catfish
,,Sweet Nothings
,,Mock
,,The Creeper
,BBC TV,Detained
,,"The Metaphysical Engine, or What Quill Did"
,Big Finish Audio,Queen of Rhodia
,BBC TV,The Lost
Doctor Who,,Looking for Pudsey
,BBC Book,Grey Matter
,BBC TV,The Return of Doctor Mysterio
,BBC Audio,The Lost Angel
,,The Lost Planet
,,The Lost Magic
,,The Lost Flame
,BBC Book,The Mondas Touch
,,Baby Sleepy Face
,,Lights Out
,BBC Audio,Death Among the Stars
,,Rhythm of Distraction
,,The Ice Kings
,Big Finish,The Astrea Conspiracy
,,The Best-Laid Plans
,,Dead Media
,,A Song For Running
,,The Bekdel test
,,The Web of Time
,,The Talents of Greel
Torchwood,,Forgotten Lives
,,Smashed
,,More Than This
,,Ghost Mission
,,Made You Look
,,Visiting Hours
,,We Always Get Out Alive
,,Night of the Fendahl
,,Driving Miss Wells
,,Sonny
Doctor Who,Big Finish Audio,Regeneration Impossible
,,Flight To Calandra
,,Split Second
,,The Weight Of History
,BBC TV,Friend from the Future
,,The Pilot
,,Smile
,Comic,Harvest of the Daleks
,BBC TV,Thin Ice
,,Knock Knock
,BBC Book,Bill and the Three Jackets
,,Diamond Dogs
,,Plague City
,,The Shining Man
,Big Finish,Emancipation Of The Daleks
,BBC TV,Oxygen
,,Extremis (Part 1)
,,The Pyramid at the End of the World (Part 2)
,,The Lie of the Land (Part 3)
,,Empress of Mars
,BBC Book,Sirgwain and the Green Knight
,Comic,The Wolves of Winter
,,Alpha
,,Ninth Doctor Special
,,Tenth Doctor Special
,,Eleventh Doctor Special
,,Special #1
,,The Twelfth Doctor Special
,,Special #2
,,Omega
,,The Great Shopping Bill
,,A Confusion of Angels
,,Tulpa
,http://downloads.bbc.co.uk/tv/isite-static/doctorwho/stories/doctor-who-and-the-horror-of-coal-hill.pdf),"Doctor Who and the Horror of Coal Hill
BBC Adventure Calendar (Web): Doctor Who and the Horror of Coal Hill"
,BBC TV,The Eaters of Light
,BBC Book,Pain Management
,,Inflicting Christmas
,Big Finish,A Spoonful of Mayhem
,,"Divorced, Beheaded, Regenerated"
,,The Broken Clock
,,The Belly of the Beast
,,The Lumiat
,,Brimstone and Terror
,,Treason and Plot
,,Too Many Masters
,,Masterful
,BBC Books,Tempered
,Online Episode,The Best of Days
,,"Farewell, Sarah Jane"
,BBC TV,World Enough and Time (Part 1)
,BBC Book,Alit in Underland
,,Dismemberment
,,Lords and Masers
,,Teddy Sparkles Must Die
,,Missy’s Magical Mystery Mission
,Big Finish,Body and Soulless
,,War Seed
,,"Two Monks, One Mistress"
,BBC TV,The Doctor Falls (Part 2)
,BBC Webcast,The Best of Days
,BBC TV,Twice Upon A Time
,,"In-Between Times
Titan Comics: Operation Volcano (Graphic Novel) (Story 4)"
Torchwood,Comic,World Without End
,,Station Zero
,,The Culling
,Big Finish,Changes Everything
,,
,BBC Webcast,Incoming Message
,Big Finish,Aliens & Sex & Chips & Gravy
,,Orr
,,Superiority Complex
,,Love Rat
,,Dead Man’s Switch
,,A Kill to a View
,,Zero Hour
,,The Empty Hand
,,Poker Face
,,Tagged
,,Escape Room
,,Herald of the Dawn
,,Cardiff Unknown
,,Deadbeat Escape
,,Sargasso
,,Future Pain
,,The Man Who Destroyed Torchwood
,,See No Evil
,,Night Watch
,,Flight 405
,,Hostile Environment
,,The Green Life
,,Another Man’s Shoes
,,Eve of the Storm
,,A Mother’s Son
,,ScrapeJane
,,Day Zero
,,Thoughts and Prayers
,,Red Base
Doctor Who,,Colony of strangers
,,Abbey of Heretics
,,Barrister to the Stars
,,Carnival of Angels
,,a brief history of the time lords book.
THIRTEENTH DOCTOR (JODI WITTIKER),,
Doctor Who,BBC Book,The Myriapod Mutiny
,,Things She Thought While Falling
,Comic,The Many Lives of Doctor Who
,BBC TV,The Woman Who Fell to Earth
,,The Ghost Monument
,,Rosa
,BBC Book,Chasing the Dawn
,BBC TV,Arachnids in the UK
,BBC Book,"That’s All Right, Mam"
,,Christmas with the Plasmarovs
,BBC Book,The Good Doctor
,,Molten Heart
,,Combat Magicks
,,Einstein and the Doctor
,BBC TV,The Tsuranga Conundrum
,BBC Book,The Secret in Vault 13
,,"The Liar, the Glitch and the War zone"
,,Letters from the Front
,BBC TV,Demons of the Punjab
,BBC Book,Who-Dini?
,BBC TV,Kerblam!
,,The Witchfinders
,BBC Book,Time Lapse
,,Gatecrashers
,,Citation Needed
,Comic,A New Beginning
,,Hidden Human History
,,Old Friends
,BBC TV,It Takes You Away
,,The Battle of Ranskoor Av Kolos
,BBC Book,The Rhino of Twenty-Three Strand Street
,BBC Webcast,Doctors Assemble!
,Comic,Holiday Special
,BBC TV,Resolution
,BBC Book,Scratchman
,,The Pythagoras Problem
,,Mission of the KaaDok
,,The Ruby’s Curse
,,Chemistry
,BBC TV,Spyfall - Part 1
,BBC Book,Press Play
,BBC TV,Spyfall - Part 2
,,Orphan 55
,,Nikola Tesla’s Night of Terror
,,Fugitive of the Judoon
Torchwood,Big Finish,The Red List
,,Death In Venice
,,A Postcard From Mr. Colchester
Doctor Who,BBC TV,Praxeus
,BBC Book,At Childhood’s End
,Comic,A Little Help from My Friends
,,Alternating Current
,Webcast,A Message from the Doctor
,,"United We Stand, 2m apart"
,,Doctor’s Assemble
,BBC Book,Press Play
,,The Shadow Passes
,,The Simple Things
,,The Maze of Doom
,,Team TARDIS: Paper Moon
,,Team TARDIS: Ghost Town
,,The Paradox Moon
,,The Tourist
,,Fellow Traveller
,,The Master and Margarita
,,The Wonderful Doctor of Oz
,BBC TV,Can You Hear Me?
,,The Haunting of Vila Diodati (Part 1)
,,Ascension of the Cybermen (Part 2)
,,The Timeless Children (Part 3)
,BBC Book,Andiba and the Four Slitheen
,Webcast,14681 UNIT Field Log
,,14682 UNIT Field Log
,,14683 UNIT Field Log
,,14684 UNIT Field Log
,BBC Book,The Terror of the Umpty Ums
,,Shadow of a Doubt
,,The Shadow in the Mirror
,BBC Book,The Annual 2021
,BBC TV,Revolution of the Daleks
,BBC Book,Ruby’s Curse
,Video Game,The Edge of Time
,,The Edge Of Reality
,,The Lonely Assassins
,BBC TV,The Halloween Apocalypse
,,War of the Sontarans
,,"Once, Upon Time"
,,Village of The Angels
,,Survivors of the Flux
,,The Vanquishers
,,Eve of the Daleks
,,Legend of the Sea Devils
,BBC Audio,SOS
,,Hysteria
,,Lost
,,Angels
,,Interrogation
,,Recruits
,,Requiem
,,Ghosts
,,Rescue
,,Salvation
,BBC TV,The Power Of The Doctor
FOURTEENTH DOCTOR (David Tennant),,
Doctor Who,Comic,Liberation Of The Daleks
,Multi,Dooms day
,BBC TV,Children In Need Special
,BBC Audio,Doctor Who: Redacted series 2
,BBC TV,The Star Beast
,,Wild Blue Yonder
,,The Giggle
FIFTEENTH DOCTOR (Ncuti Gatwa),,
Doctor Who,BBC TV,The Church of Ruby Road
Torchwood,Big Finish,Mighty and Despair
,,Empire Of Shadows
,,The Torchwood Archive
