NOTE: This timeline is rough. It was 95% accurate at the time of the 60th anniverary (November 2023). It has not been updated since then.,,
SHOW,FORMAT,TITLE
,,The Christmas Invasion
,BBC Book,The Christmas Inversion
,Online Interactive Episode,Attack of the Graske
Torchwood,Big Finish,Retirement Plan
Doctor Who,Online Episode,TARDISode 1
,BBC TV,New Earth
,BBC Book,He’s Behind You
,,The Stone Rose
,,The Feast of the Drowned
,,The Resurrection Casket
,,I Am A Dalek
,Online Episode,TARDISode 2
,BBC TV,Tooth And Claw
Torchwood,Big Finish,The Empire Man
,,Fortitude
,,The Victorian Age
,,Infidel Places
,,Save Our Souls
,,The Crown
Torchwood,BBC Book,The Baby Farmers
Doctor Who,Big Finish,Infamy of the Zaross
,,The Sword of the Chevalier
,,Cold Vengeance
,Online Episode,TARDISode 3
,BBC TV,School Reunion
,BBC Book,The Gingerbread Trap
,Online Episode,TARDISode 4
,BBC TV,The Girl in the Fireplace
,BBC Webcast,Pompadour
,Online Episode,TARDISode 5
,BBC TV,Rise of the Cyberman (Part1)
,Online Episode,TARDISode 6
,BBC TV,The Age of Steel (Part 2)
Torchwood,Big Finish,Locker 15
,,Wednesdays For Beginners
Doctor Who,Online Episode,TARDISode 7
,BBC TV,The Idiot’s Lantern
,Online Episode,TARDISode 8
,BBC TV,The Impossible Planet (Part 1)
,Online Episode,TARDISode 9
,BBC TV,The Satan Pit (Part 2)
,BBC Book,The Nightmare of Black Island
,,The Art of Destruction
,,The Price of Paradise
,Big Finish,The Taste of Death
,Online Episode,TARDISode 10
,BBC TV,Love & Monsters
,BBC Webcast,The Genuine Article
,Online Episode,TARDISode 11
,BBC TV,Fear Her
Torchwood,Big Finish,The last love song of Susie Costello
,,Crush
Doctor Who,Online Episode,TARDISode 12
,BBC TV,Army of Ghosts (Part 1)
,Online Episode,TARDISode 13
,BBC TV,Doomsday (Part 2)
Torchwood,Big Finish,The Rockery
,,The Vigil
,,Iceberg
,BBC TV,Everything Changes
,,Day One
,,Ghost Machine
,BBC Book,Another Life
,,Boarder Princes
,,Slow Decay
,Big Finish,SUV
,BBC TV,Cyberwoman
,,Small Worlds
,Big Finish,Drive
,BBC TV,Countrycide
,,Greeks Bearing Gifts
,Big Finish,Instant Karma
,,Broken
,,Restricted Items Archive Entries 031-049
,BBC TV,They Keep Killing Suzie
,,Random Shoes
,Big Finish,The Conspiracy
,,Uncanny Vally
,BBC TV,Out Of Time
,,Combat
,BBC Audio,Hidden
,Big Finish,The Last Beacon
,,Ex Machina
Doctor Who,BBC TV,The Runaway Bride
Sarah Jane Adv.,BBC TV,Invasion of the Bane
Doctor Who,BBC TV,Smith And Jones
,,The Shakespeare Code
,,Gridlock
,Big Finish,R&J
,BBC TV,Daleks in Manhattan
,,Evolution of the Daleks (Part 2)
,Big Finish,Backtrack
,BBC TV,The Infinite Quest
,,The Lazarus Experiment
,BBC Book,The Mystery of the Haunted Cottage
,,Made of Steel
,,Sting of the Zygons
,,The Last Dodo
,,Wooden Heart
,,The Spaceship Graveyard
,,Alien Arena
,,The Time Crocodile
,,The Corinthian Project
,,42 (Prologue)
,BBC TV,42
,,Human Nature (Part 1)
,,The Family of Blood (Part 2)
,,Blink
,BBC Webcast,Sally Sparrow and the Weeping Ángels
,BBC Book,The Garden of Statues
,,The Angels of Vengeance
,,Forever Autumn
,,Sick Building
,,Wetworld
,,Wishing Well
,,The Pirate Loop
,,Peacemaker
,,Revenge of the Judoon
,,Martha In the Mirror
,,Snowglobe 7
,,The Many Hands
,,The Crystal Snare
,,War of the Robots
,,Dark Planet
,,The Haunted Wagon Train
,,The Horror of Howling Hill
,,Lost Luggage
,,Second Skin
,,The Dragon King
,,Rewriting History
Torchwood,BBC TV,Captain Jack Harkness
,,End of Days
Doctor Who,,Utopia
,,The Sound of Drums
,BBC Book,The Story of Martha
,Big Finish,The Last Diner
,,Silver Medal
,,Deceived
,BBC Book,The Unwanted Gift of Propehcy
,BBC Book,Blue Moon
,BBC TV,Last of the Time Lords (Part 3)
,,Time Crash
,,Voyage of the Damned
Torchwood,BBC Book,Kaleidoscope
,Big Finish,Dinner and a Show
,,Lease of Life
,,War Chest
,,
,BBC TV,"Kiss Kiss, Bang Bang"
Sarah Jane Adv.,BBC TV,Revenge of the Slitheen (Parts 1 + 2)
,,Eye of the Gorgon (Parts 1 + 2)
,,Warriors of the Kudlak (Parts 1 + 2)
,,Whatever Happened To Sarah Jane? (Parts 1 + 2)
,,The Lost Boy (Parts 1 + 2)
,BBC Audio,The Glittering Storm
,,The Thirteenth Stone
Torchwood,BBC TV,Sleeper
,Big Finish,Serenity
,BBC TV,To the Last Man
,Big Finish,Fall to Earth
,,Zone 10
,,The Office of Never Was
,BBC Book,Something in the Water
,,Trace Memory
,BBC Audio,Everyone Says Hello
,BBC TV,Meat
,,Adam
,BBC Book,The Twilight Streets
,Big Finish,Tropical Beach Sounds and Other Relaxing Seascapes #4
,BBC TV,Reset
,,Dead Man Walking
,,A Day in the Death
,BBC Book,Pack Animals
,BBC TV,Something Borrowed
,BBC Book,SkyPoint
,Big Finish,Believe  (Parts 1-3)
,BBC TV,From Out of the Rain
,BBC TV,Adrift
,Big Finish,Corpse Day
,,torchwood_cascade_CDRip.tor
,,The Hope
,,The Three Monkeys
,,Gooseberry
,,The Great Sontaran War
,,The Grey Mare
,BBC TV,Fragments
,,Exit Wounds
,,The Death of Captain Jack
,Big Finish,Expectant
,BBC Audio Drama,Lost Souls
,BBC Book,Almost Perfect
Doctor Who,Big Finish,The Endless Night
,,The Flood
,,Ghost Machines
,,The Last Party on Earth
,,Saltwater
,,Now is the New Dark
,,The Rouge Planet
,BBC TV,Partners in Crime
,,The Fire of Pompeii
,Doctor Who Webcast,The Descendants of Pompeii
,BBC TV,Planet of the Ood
,BBC Audio,Pest Control
,,The Nemonite Invasion
,BBC Book,The Lonely Computer
,,Defiance of the New Bloods
,BBC TV,The Sontaran Stratagem (Part 1)
,,The Poison Sky (Part 2)
,,The Doctor’s Daughter
,Big Finish,Stolen Goods
,,Prisoner of the Ood
,,Neon Reign
,,Zero Space
,BBC TV,The Unicorn and the Wasp
,,Silence in the Library (Part 1)
,,Forest of the Dead (Part 2)
,Big Finish,Prequel to Donna Noble: Kidnapped!
,,Out of this World
,,Spinvasion
,,The Sorcerer of Albion
,,The Chiswick Cuckoos
,,Technophobia
,,Time Reaver
,BBC Book,Blood Will Out
,,In The Blood
,,Shining Darkness
,,The Doctor Trap
,,Ghosts of India
,,Beautiful Chaos
,BBC Audio,The Forever Trap
,Big Finish,Death and the Queen
,,Wild Pastures
,,No Place
,,One Mile Down
,,The Creeping Death
,BBC Book,The Legend of Camelot
,BBC TV,Midnight
,,Turn Left
,BBC Webcast,U.N.I.T. On Call
,BBC TV,The Stolen Earth
,,Journeys End
,,Music of the Spheres
,Big Finish,The Siege of Big Ben
,,Flight Into Hull!
,BBC Book,The Turning of the Tide
,,The Eyeless
,Big Finish,Hounded
,,
Sarah Jane Adv.,BBC TV,The Last Sontaran (Parts 1 + 2)
,,The Day of the Clown (Parts 1 + 2)
,,Secrets of the Stars (Parts 1 + 2)
,,The Mark of the Berserker (Parts 1 + 2)
,BBC Audio,The Time Capsule
,,The Ghost House
,,The Shadow People
,BBC TV,The Temptation of Sarah Jane Smith (Parts 1 + 2)
,,Enemy of the Bane (Parts 1 + 2)
Doctor Who,BBC TV,The Next Doctor
,BBC Book,The Dust of Ages
,,The Graves of Mordane
,,The Colour of Darkness
,,Depths of Despair
,,The Vampire of Paris
,,The Game of Death
,,The Planet of Oblivion
,,The Picture of Emptiness
,,The Art of War
,,The End of Time
,,The Sontaran Games
,,Judgement of the Judoon
,,The Slitheen Excursion
,,Prisoner of the Daleks
,Big Finish,Churchill Victorious
Sarah Jane Adv.,BBC TV,From Raxacoricofallapatorius with Love'
Doctor Who,,Planet of the Dead
,BBC Audio,The Rising Night
,,The Day of the Troll
,BBC Book,The Taking of Chelsea 426
,,Autonomy
,,The Krillitane Storm
,,The Grief Collector
Torchwood,BBC Audio,The Sin Eaters
,,In the Shadows
,BBC Book,Into the Silence
,,Bay of the Dead
,,The House That Jack Built
,,Risk Assessment
,,The Undertakers Gift
,,The Wrong Hands
,,Virus
,,Consequences
,BBC Audio,Asylum
,,Golden Age
,,The Dead Line
,,The Devil and Miss Carew
,,Submission
,Big Finish,Outbreak
,BBC Audio,Department X
,,Ghost Train
,Big Finish,Dissected
,,Rhys & Ianto's Excellent Barbecue
,,
,,The Lincolnshire Poacher
,BBC TV,Children of Earth: Day 1
,,Children of Earth: Day 2
,,Children of Earth: Day 3
,,Children of Earth: Day 4
,,Children of Earth: Day 5
,,Pause just before ‘6months later’
,BBC Book,Long Time Dead
,Big Finish,Coffee
,,Resume ‘day 5’ at the ‘6months later’
